pub_date,title,venue,citation,paper_url
2022-06-23,Review of one-shot neural architecture search,Computer Engineering & Science,"Pei-jie DONG, Xin NIU, Zi-mian WEI, Xue-hui CHEN",http://manu46.magtech.com.cn/ces/EN/abstract/abstract17574.shtml 
2022-10-24,AutoRF: Auto Learning Receptive Fields with Spatial Pooling,IEEE Multi-Media Modeling (MMM)2023,"Peijie Dong, Xin Niu, Zimian Wei, Hengyue Pan, Dongsheng Li, Zhen Huang",https://link.springer.com/chapter/10.1007/978-3-031-27818-1_56
2023-02-16,Progressive Meta-Pooling Learning for Lightweight Image Classification Model,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2023","Peijie Dong, Xin Niu, Zhiliang Tian, Lujun Li, Xiaodong Wang, Zimian Wei, Hengyue Pan, Dongsheng Li",https://ieeexplore.ieee.org/abstract/document/10096973
2023-02-16,RD-NAS: Enhancing One-shot Supernet Ranking Ability via Ranking Distillation from Zero-cost Proxies,"IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2023","Peijie Dong, Xin Niu, Lujun Li, Zhiliang Tian, Xiaodong Wang, Zimian Wei, Hengyue Pan, Dongsheng Li",https://ieeexplore.ieee.org/abstract/document/10094709/
2023-03-28,DisWOT: Student Architecture Search for Distillation WithOut Training,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) 2023,"Peijie Dong, Lujun Li, Zimian Wei",https://openaccess.thecvf.com/content/CVPR2023/html/Dong_DisWOT_Student_Architecture_Search_for_Distillation_WithOut_Training_CVPR_2023_paper.html
2023-09-27,EMQ: Evolving Training-free Proxies for Automated Mixed Precision Quantization ,IEEE/CVF International Conference on Computer Vision (ICCV) 2023,"Peijie Dong, Lujun Li, Zimian Wei, Xin Niu, Zhiliang Tian, Hengyue Pan",https://arxiv.org/abs/2307.10554
,,,,
